Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
KLCC,6380000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2195.0,Serviced Residence
Mont Kiara,2480000.0,2.0,6.0,0.0,Partly Furnished,Built-up,2702.0,Condominium
Batu Caves,676775.0,2.0,3.0,4.0,Partly Furnished,Built-up,1265.0,Serviced Residence
Mont Kiara,2280000.0,2.0,5.0,0.0,Partly Furnished,Built-up,2702.0,Condominium
Mont Kiara,1830000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1830.0,Condominium
City Centre,1750000.0,2.0,3.0,1.0,Partly Furnished,Built-up,1442.0,Serviced Residence
Desa ParkCity,1780000.0,2.0,3.0,2.0,Fully Furnished,Built-up,2400.0,Terrace/Link House
Kepong,3380000.0,3.0,4.0,0.0,Partly Furnished,Land area,4050.0,Semi-detached House
Bukit Jalil,1200000.0,3.0,4.0,4.0,Partly Furnished,Built-up,1930.0,Condominium
KLCC,2300000.0,3.0,2.0,1.0,Partly Furnished,Built-up,1046.0,Serviced Residence
KLCC,2300000.0,3.0,1.0,2.0,Partly Furnished,Built-up,1046.0,Serviced Residence
Mont Kiara,1600000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1878.0,Condominium
Mont Kiara,1291000.0,3.0,4.0,3.0,Partly Furnished,Built-up,2069.0,Condominium
KLCC,880000.0,3.0,1.0,1.0,Fully Furnished,Built-up,710.0,Serviced Residence
Jalan Klang Lama (Old Klang Road),655000.0,2.0,2.0,2.0,Partly Furnished,Built-up,1094.0,Serviced Residence
Mont Kiara,2150000.0,2.0,5.0,3.0,Unfurnished,Built-up,2700.0,Condominium
Mont Kiara,1400000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1496.0,Condominium
KLCC,7975250.0,2.0,6.0,2.0,Fully Furnished,Built-up,2975.0,Serviced Residence
Mont Kiara,1100000.0,3.0,2.0,2.0,Partly Furnished,Built-up,1200.0,Condominium
KLCC,1238000.0,3.0,2.0,1.0,Partly Furnished,Built-up,736.0,Condominium
Bangsar South,750000.0,3.0,2.0,1.0,Partly Furnished,Built-up,823.0,Serviced Residence
Damansara Heights,2100000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2153.0,Condominium
Bukit Jalil,900000.0,2.0,4.0,0.0,Unfurnished,Built-up,1513.0,Condominium
Mont Kiara,1500000.0,3.0,2.0,2.0,Fully Furnished,Built-up,1200.0,Condominium
Mont Kiara,2300000.0,2.0,6.0,3.0,Partly Furnished,Built-up,2702.0,Condominium
KLCC,1000000.0,2.0,2.0,0.0,Partly Furnished,Built-up,777.0,Serviced Residence
KLCC,990000.0,2.0,3.0,2.0,Fully Furnished,Built-up,1313.0,Serviced Residence
KLCC,3960000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2195.0,Serviced Residence
KLCC,2700000.0,3.0,2.0,2.0,Fully Furnished,Built-up,1184.0,Serviced Residence
KLCC,1900000.0,1.0,2.0,1.0,Fully Furnished,Built-up,1087.0,Serviced Residence
Desa ParkCity,5460000.0,4.0,9.0,6.0,Partly Furnished,Built-up,7000.0,Terrace/Link House
KLCC,2050000.0,2.0,5.0,2.0,Fully Furnished,Built-up,2356.0,Condominium
Bangsar South,1121800.0,2.0,2.0,1.0,Fully Furnished,Built-up,1200.0,Serviced Residence
KLCC,1506300.0,3.0,1.0,1.0,Fully Furnished,Built-up,1020.0,Serviced Residence
Bangsar,1530000.0,2.0,3.0,2.0,Fully Furnished,Built-up,2095.0,Condominium
Ampang,3680000.0,3.0,8.0,4.0,Unfurnished,Land area,6300.0,Bungalow
KLCC,3600000.0,2.0,5.0,2.0,Partly Furnished,Built-up,3897.0,Serviced Residence
Mont Kiara,2300000.0,2.0,5.0,0.0,Partly Furnished,Built-up,2906.0,Condominium
Sri Hartamas,14800000.0,3.0,6.0,4.0,Fully Furnished,Land area,8611.0,Bungalow
Desa ParkCity,1480000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1917.0,Condominium
Bangsar South,1050000.0,3.0,2.0,2.0,Fully Furnished,Built-up,1485.0,Condominium
Klcc,1200019.0,3.0,2.0,1.0,Partly Furnished,Built-up,577.0,Condominium
Cheras,780000.0,2.0,4.0,0.0,Unfurnished,Land area,5320.0,Bungalow
