Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
90,1150000.0,3.0,2.0,2.0,1,2,0.0,8
29,2800000.0,2.0,4.0,3.0,1,2,0.0,8
90,3100000.0,2.0,4.0,3.0,1,2,3600.0,6
90,1380000.0,3.0,3.0,2.0,1,2,0.0,8
90,1450000.0,3.0,2.0,2.0,0,2,0.0,8
9,4900000.0,3.0,4.0,4.0,1,2,11676.0,1
90,1680000.0,3.0,3.0,4.0,1,2,0.0,8
27,1550000.0,3.0,3.0,2.0,2,2,0.0,8
55,1950000.0,2.0,4.0,3.0,0,1,2535.0,3
29,3200000.0,2.0,4.0,0.0,1,1,4300.0,8
45,3600000.0,2.0,4.0,2.0,1,1,3897.0,7
79,600000.0,2.0,2.0,2.0,1,2,1025.0,7
24,4130000.0,2.0,5.0,2.0,1,1,3713.0,3
44,2300000.0,2.0,4.0,2.0,2,1,1873.0,7
44,5149700.0,2.0,5.0,0.0,2,1,2982.0,7
44,5129000.0,2.0,4.0,0.0,2,1,3143.0,7
45,1780000.0,3.0,3.0,2.0,0,1,1232.0,3
16,900000.0,2.0,3.0,3.0,1,1,1513.0,3
16,597000.0,3.0,2.0,2.0,2,1,1550.0,3
9,6380000.0,2.0,5.0,3.0,1,1,4025.0,3
9,6900000.0,2.0,6.0,3.0,1,1,4945.0,3
37,660000.0,3.0,2.0,2.0,1,2,992.0,3
45,3125000.0,1.0,2.0,2.0,1,1,1421.0,7
45,2480000.0,3.0,1.0,1.0,1,1,1023.0,7
27,4000000.0,2.0,5.0,2.0,1,2,3700.0,6
45,1050000.0,2.0,4.0,2.0,1,1,1313.0,7
45,1833000.0,3.0,1.0,1.0,0,1,925.0,7
5,888000.0,2.0,3.0,0.0,2,2,0.0,8
45,2999000.0,2.0,3.0,3.0,0,1,2066.0,7
16,638000.0,1.0,1.0,1.0,1,1,721.0,7
9,6842500.0,2.0,5.0,4.0,1,1,4025.0,3
9,8476050.0,2.0,5.0,4.0,1,1,5137.0,3
27,14000000.0,4.0,6.0,0.0,1,2,9124.0,1
55,1415000.0,2.0,4.0,2.0,1,1,1496.0,3
27,12800000.0,6.0,5.0,0.0,1,2,14380.0,1
19,6900000.0,3.0,5.0,0.0,1,2,12000.0,1
45,1380000.0,2.0,4.0,2.0,0,1,1701.0,7
45,2800000.0,3.0,2.0,0.0,0,1,1103.0,7
9,8280000.0,2.0,6.0,4.0,1,1,5137.0,3
84,3690000.0,2.0,5.0,6.0,2,2,3658.0,6
78,950000.0,2.0,3.0,2.0,1,2,1650.0,8
16,4000000.0,4.0,7.0,4.0,1,2,5337.0,1
9,9960000.0,3.0,7.0,6.0,1,1,6913.0,3
9,6660000.0,3.0,5.0,3.0,1,1,4771.0,3
9,6300000.0,2.0,5.0,3.0,1,1,4025.0,3
84,628000.0,3.0,2.0,1.0,1,1,1150.0,3
84,628000.0,3.0,2.0,1.0,1,1,1150.0,3
55,1590000.0,2.0,4.0,2.0,1,1,1878.0,3
45,3330000.0,2.0,3.0,1.0,0,1,2789.0,7
72,428000.0,2.0,2.0,2.0,1,1,918.0,7
79,2250000.0,3.0,5.0,7.0,1,2,0.0,8
90,4800000.0,3.0,4.0,0.0,1,2,8300.0,1
90,1890000.0,2.0,2.0,0.0,1,2,0.0,8
29,815000.0,3.0,2.0,0.0,0,1,1085.0,3
9,7500000.0,2.0,5.0,4.0,1,1,4025.0,3
45,1450000.0,3.0,2.0,1.0,0,1,867.0,3
29,2950000.0,2.0,5.0,0.0,2,1,3082.0,8
45,1000000.0,3.0,1.0,1.0,1,1,751.0,3
10,640000.0,3.0,2.0,1.0,2,1,823.0,7
10,840000.0,3.0,2.0,1.0,2,1,1119.0,7
55,2600000.0,2.0,5.0,3.0,1,1,3478.0,3
90,1550000.0,2.0,3.0,2.0,2,1,1444.0,7
90,2750000.0,2.0,4.0,2.0,1,1,2426.0,7
70,5500000.0,3.0,6.0,4.0,0,2,5446.0,1
